workload,trace_id,node_id,call_index,trace_llm_calls,replay_32k_eligible,input_qwen_tokens,input_nemotron_usage_tokens,output_recorded_tokens,output_reasoning_tokens,output_nonreasoning_tokens,output_unknown_tokens,response_id
openclaw,2a649bb1-795f-4a01-b3be-9a01868dae73,llm-002,2,18,False,9833,10827,85,42,43,0,chatcmpl-4f619822-360e-4578-9de6-f9bf6bce2257
openclaw,2a649bb1-795f-4a01-b3be-9a01868dae73,llm-003,3,18,False,17120,17892,97,44,53,0,chatcmpl-b035f898-a098-49f8-920a-62ded09fc463
openclaw,2a649bb1-795f-4a01-b3be-9a01868dae73,llm-004,4,18,False,18132,18954,73,27,46,0,chatcmpl-b6857aa8-b912-470d-8d33-778a4b619fe1
openclaw,2a649bb1-795f-4a01-b3be-9a01868dae73,llm-005,5,18,False,20455,21407,67,17,50,0,chatcmpl-27a14db4-f23d-4407-95a8-c8bc38a9e21a
openclaw,2a649bb1-795f-4a01-b3be-9a01868dae73,llm-006,6,18,False,27830,28878,132,78,54,0,chatcmpl-f2913838-859c-4622-8e43-c863130eeaff
openclaw,2a649bb1-795f-4a01-b3be-9a01868dae73,llm-007,7,18,False,28225,29300,69,19,50,0,chatcmpl-4d15b926-77f8-4848-9c0a-f3f426512dac
openclaw,2a649bb1-795f-4a01-b3be-9a01868dae73,llm-008,8,18,False,28364,29455,62,8,54,0,chatcmpl-d46c515c-c1f1-4841-9eb2-b89d3cd0ba81
openclaw,2a649bb1-795f-4a01-b3be-9a01868dae73,llm-009,9,18,False,31315,32548,127,74,53,0,chatcmpl-23fbebb5-7d8c-4e0d-ac0f-565664835fb1
openclaw,2a649bb1-795f-4a01-b3be-9a01868dae73,llm-010,10,18,False,31609,32861,107,17,90,0,chatcmpl-96f206ca-ab90-4e9d-bd0e-becdc9e446a8
openclaw,2a649bb1-795f-4a01-b3be-9a01868dae73,llm-011,11,18,False,32048,33327,107,51,56,0,chatcmpl-4dded456-f991-4f10-8566-912473fff689
openclaw,2a649bb1-795f-4a01-b3be-9a01868dae73,llm-012,12,18,False,32201,33494,104,52,52,0,chatcmpl-b1afa1ce-4573-4770-ad48-c8591c311595
openclaw,2a649bb1-795f-4a01-b3be-9a01868dae73,llm-013,13,18,False,35097,36513,101,58,43,0,chatcmpl-4f8f55a7-6820-41af-bdc2-6e8c077ac159
openclaw,2a649bb1-795f-4a01-b3be-9a01868dae73,llm-014,14,18,False,41606,42930,100,45,55,0,chatcmpl-dadfe0ee-2d09-4841-8974-37585eeecdde
openclaw,2a649bb1-795f-4a01-b3be-9a01868dae73,llm-015,15,18,False,41755,43095,114,61,53,0,chatcmpl-aa6c4f2f-5004-4ddd-9244-426c4a4b85b1
openclaw,2a649bb1-795f-4a01-b3be-9a01868dae73,llm-016,16,18,False,41902,43257,120,66,54,0,chatcmpl-81a3662a-031c-4e9d-a1b7-4a16cb6f6f99
openclaw,2a649bb1-795f-4a01-b3be-9a01868dae73,llm-017,17,18,False,42052,43422,112,55,57,0,chatcmpl-ab0d5f8e-af56-4430-8649-bf1ddd0735b6
openclaw,2a649bb1-795f-4a01-b3be-9a01868dae73,llm-018,18,18,False,44929,46414,365,207,158,0,chatcmpl-e9ffa521-a4bd-4c56-9520-e9e0a0a3fcc3
openclaw,87c610df-bef7-4932-b950-1d83ef4e282b,llm-001,1,7,False,6794,7672,121,74,47,0,chatcmpl-3d69ea90-34b0-4c01-a0a2-1b9cd9a644ef
openclaw,87c610df-bef7-4932-b950-1d83ef4e282b,llm-002,2,7,False,9457,10450,73,21,52,0,chatcmpl-4da7dbc9-9639-4a8a-936b-889175c4eb70
openclaw,87c610df-bef7-4932-b950-1d83ef4e282b,llm-003,3,7,False,15974,17185,560,514,46,0,chatcmpl-295ad6c9-921a-4479-999e-6684d4fe60e2
openclaw,87c610df-bef7-4932-b950-1d83ef4e282b,llm-004,4,7,False,19074,20412,145,92,53,0,chatcmpl-1dde3d64-a426-4f83-a881-be9aaf3ee360
openclaw,87c610df-bef7-4932-b950-1d83ef4e282b,llm-005,5,7,False,26437,27791,131,88,43,0,chatcmpl-e45c3ba5-8348-4dff-99d2-91589c02cbcc
openclaw,87c610df-bef7-4932-b950-1d83ef4e282b,llm-006,6,7,False,29196,30664,196,143,53,0,chatcmpl-f83fb997-bf5f-446f-80b8-03521926b6e5
openclaw,87c610df-bef7-4932-b950-1d83ef4e282b,llm-007,7,7,False,37378,38847,289,120,169,0,chatcmpl-265546b8-ffb4-4c2d-abcf-fa8cab8c0ff6
openclaw,dd3c7503-f62a-4bd0-9f67-1b63b94194cc,llm-001,1,8,True,6874,7764,203,135,68,0,chatcmpl-e22e2603-56ab-4ca7-93c2-f519ee37aec9
openclaw,dd3c7503-f62a-4bd0-9f67-1b63b94194cc,llm-002,2,8,True,9832,10926,108,22,86,0,chatcmpl-034ecbbc-8f00-4f4e-89fe-f16af80780cf
openclaw,dd3c7503-f62a-4bd0-9f67-1b63b94194cc,llm-003,3,8,True,15848,17001,1095,757,338,0,chatcmpl-e2706434-1997-4cff-8a7f-75320cb632e4
openclaw,dd3c7503-f62a-4bd0-9f67-1b63b94194cc,llm-004,4,8,True,16681,17851,669,340,329,0,chatcmpl-bb607011-588c-4ea6-91f1-8efa087ed271
openclaw,dd3c7503-f62a-4bd0-9f67-1b63b94194cc,llm-005,5,8,True,17094,18262,156,26,130,0,chatcmpl-f5f9a009-59d8-4052-af7c-57a545f05ed8
openclaw,dd3c7503-f62a-4bd0-9f67-1b63b94194cc,llm-006,6,8,True,17295,18467,592,301,291,0,chatcmpl-4b5f7add-72b2-4d3f-9753-2eabec0cc8a6
openclaw,dd3c7503-f62a-4bd0-9f67-1b63b94194cc,llm-007,7,8,True,17688,18865,67,30,37,0,chatcmpl-e22963cb-5b11-433c-9191-215e2f8ce850
openclaw,dd3c7503-f62a-4bd0-9f67-1b63b94194cc,llm-008,8,8,True,17738,18919,274,17,257,0,chatcmpl-472a6287-2347-4aa7-a13e-0903bac454ef
openclaw,5d0080cb-90d7-4712-bc33-848150e917d3,llm-001,1,5,False,6827,7706,118,59,59,0,chatcmpl-8c54b6b5-dcca-41d9-8dd1-668119210f67
openclaw,5d0080cb-90d7-4712-bc33-848150e917d3,llm-002,2,5,False,9694,10743,110,47,63,0,chatcmpl-45192972-1f7a-4ffd-a57c-ae0a251ce3f0
openclaw,5d0080cb-90d7-4712-bc33-848150e917d3,llm-003,3,5,False,33922,36144,85,26,59,0,chatcmpl-2a09bbe1-f3b0-425e-8861-f4f1f3e714cb
openclaw,5d0080cb-90d7-4712-bc33-848150e917d3,llm-004,4,5,False,34566,36830,125,67,58,0,chatcmpl-78d93e62-4a2f-4c24-9dee-0bde4cec9264
openclaw,5d0080cb-90d7-4712-bc33-848150e917d3,llm-005,5,5,False,34969,37261,89,47,42,0,chatcmpl-ba7212d3-3fc7-4a99-8b32-5f0a8f582a21
openclaw,a1e91b78-d3d8-4675-bb8d-62741b4b68a6,llm-001,1,4,True,6814,7694,94,42,52,0,chatcmpl-6364780f-1ba5-4919-8719-91886c010ff5
openclaw,a1e91b78-d3d8-4675-bb8d-62741b4b68a6,llm-002,2,4,True,9791,10830,147,99,48,0,chatcmpl-d9e53400-f97c-41fb-a126-4c43e31612b5
openclaw,a1e91b78-d3d8-4675-bb8d-62741b4b68a6,llm-003,3,4,True,11651,12750,122,80,42,0,chatcmpl-a1e77a5a-c528-48b2-aa9c-f5f68613cebf
openclaw,a1e91b78-d3d8-4675-bb8d-62741b4b68a6,llm-004,4,4,True,12275,13417,196,99,97,0,chatcmpl-3d29385a-798c-46c3-9b5f-2206c239975b
openclaw,46719c30-f4c3-4cad-be07-d5cb21eee6bb,llm-001,1,10,False,6763,7651,157,101,56,0,chatcmpl-43f1bbc0-5c33-40cf-9a75-fe551956de8c
openclaw,46719c30-f4c3-4cad-be07-d5cb21eee6bb,llm-002,2,10,False,9551,10565,132,89,43,0,chatcmpl-0de80fcd-ba16-4370-b9d6-5229cf7a7af6
openclaw,46719c30-f4c3-4cad-be07-d5cb21eee6bb,llm-003,3,10,False,12326,13460,52,16,36,0,chatcmpl-8620e4e9-0027-4fee-af49-aad46340bfac
openclaw,46719c30-f4c3-4cad-be07-d5cb21eee6bb,llm-004,4,10,False,17770,18982,176,130,46,0,chatcmpl-a79d72b6-44e6-4a5b-9ae6-5fbee6bcbf7a
openclaw,46719c30-f4c3-4cad-be07-d5cb21eee6bb,llm-005,5,10,False,20308,21618,100,55,45,0,chatcmpl-cb44e376-f667-4e6f-8844-787ac8579098
openclaw,46719c30-f4c3-4cad-be07-d5cb21eee6bb,llm-006,6,10,False,21165,22523,83,36,47,0,chatcmpl-7f37975a-6cb8-4516-8c38-a214f9789cbc
openclaw,46719c30-f4c3-4cad-be07-d5cb21eee6bb,llm-007,7,10,False,25604,27154,155,98,57,0,chatcmpl-ff4d3ece-8731-4d38-9588-51e32a7d6bab
openclaw,46719c30-f4c3-4cad-be07-d5cb21eee6bb,llm-008,8,10,False,28423,30105,97,50,47,0,chatcmpl-83b85d70-7ef1-4aa1-b611-746253327f6f
openclaw,46719c30-f4c3-4cad-be07-d5cb21eee6bb,llm-009,9,10,False,33406,35218,94,50,44,0,chatcmpl-b09a9f0d-19f8-4be5-8cef-244aad376f4b
openclaw,46719c30-f4c3-4cad-be07-d5cb21eee6bb,llm-010,10,10,False,57322,60375,1318,1135,183,0,chatcmpl-eafe2ffb-d8b0-494e-b038-2bc7edbe2ef7
openclaw,df6561b2-7ee5-4540-baab-5095f742716a,llm-001,1,25,False,6836,7725,170,22,148,0,chatcmpl-850d438c-db90-4939-8ac3-4ee3e7466ee0
openclaw,df6561b2-7ee5-4540-baab-5095f742716a,llm-002,2,25,False,7000,7906,248,35,213,0,chatcmpl-772e1b74-ae52-49ad-a59a-deb24723bd93
openclaw,df6561b2-7ee5-4540-baab-5095f742716a,llm-003,3,25,False,7643,8588,487,23,464,0,chatcmpl-bf10f758-3c1b-45af-aa38-376c5769924a
openclaw,df6561b2-7ee5-4540-baab-5095f742716a,llm-004,4,25,False,8975,9917,725,66,659,0,chatcmpl-983cf532-3a12-40a3-a242-f648489a80f1
openclaw,df6561b2-7ee5-4540-baab-5095f742716a,llm-005,5,25,False,11645,12604,421,92,329,0,chatcmpl-24669937-8831-4264-b921-64599fa2423b
openclaw,df6561b2-7ee5-4540-baab-5095f742716a,llm-006,6,25,False,24944,26073,672,92,580,0,chatcmpl-9b93da7c-281e-4389-91cc-aac4ee083141
