workload,trace_id,trace_path,replay_32k_eligible,terminal_status,llm_calls,tool_calls,unique_tool_names,input_qwen_total_tokens,max_input_qwen_tokens,output_recorded_total_tokens,output_reasoning_known_tokens,output_nonreasoning_known_tokens,output_unknown_tokens
openclaw,46719c30-f4c3-4cad-be07-d5cb21eee6bb,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/datasets/GAIA_Trace/run2/traces/020_46719c30-f4c3-4cad-be07-d5cb21eee6bb.json,False,stop,10,9,2,232638,57322,2364,1760,604,0
openclaw,df6561b2-7ee5-4540-baab-5095f742716a,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/datasets/GAIA_Trace/run2/traces/021_df6561b2-7ee5-4540-baab-5095f742716a.json,False,aborted,25,24,2,1008700,76429,19671,3894,14108,1669
openclaw,00d579ea-0889-4fd9-a771-2c8d79835c8d,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/datasets/GAIA_Trace/run2/traces/022_00d579ea-0889-4fd9-a771-2c8d79835c8d.json,True,stop,4,3,2,40769,14014,518,273,245,0
openclaw,f0f46385-fc03-4599-b5d3-f56496c3e69f,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/datasets/GAIA_Trace/run2/traces/024_f0f46385-fc03-4599-b5d3-f56496c3e69f.json,False,aborted,55,54,2,4383648,108885,16130,11616,3147,1367
openclaw,e4e91f1c-1dcd-439e-9fdd-cb976f5293fd,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/datasets/GAIA_Trace/run2/traces/026_e4e91f1c-1dcd-439e-9fdd-cb976f5293fd.json,True,stop,12,11,2,150991,25500,1319,543,776,0
openclaw,56137764-b4e0-45b8-9c52-1866420c3df5,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/datasets/GAIA_Trace/run2/traces/027_56137764-b4e0-45b8-9c52-1866420c3df5.json,False,stop,18,17,2,665005,62228,4111,3093,1018,0
openclaw,de9887f5-ead8-4727-876f-5a4078f8598c,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/datasets/GAIA_Trace/run2/traces/028_de9887f5-ead8-4727-876f-5a4078f8598c.json,False,stop,14,13,3,379273,47191,2003,900,1103,0
openclaw,cffe0e32-c9a6-4c52-9877-78ceb4aaa9fb,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/datasets/GAIA_Trace/run2/traces/029_cffe0e32-c9a6-4c52-9877-78ceb4aaa9fb.json,True,stop,11,10,1,121999,15698,12464,5608,6856,0
openclaw,8b3379c0-0981-4f5b-8407-6444610cb212,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/datasets/GAIA_Trace/run2/traces/030_8b3379c0-0981-4f5b-8407-6444610cb212.json,False,stop,25,24,2,967354,60020,2506,1070,1436,0
minisweagent,sqlfluff__sqlfluff-2419,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/trace_framework/runs/minisweagent-swebench/dev-20260906T004724Z/tasks/002_sqlfluff__sqlfluff-2419/trace.json,True,Submitted,30,30,1,236102,14506,3226,873,2353,0
minisweagent,sqlfluff__sqlfluff-1733,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/trace_framework/runs/minisweagent-swebench/dev-20260906T004724Z/tasks/003_sqlfluff__sqlfluff-1733/trace.json,False,Submitted,139,138,1,6555274,94439,51759,13526,38233,0
minisweagent,sqlfluff__sqlfluff-1517,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/trace_framework/runs/minisweagent-swebench/dev-20260906T004724Z/tasks/004_sqlfluff__sqlfluff-1517/trace.json,False,Submitted,132,132,1,4872234,70598,24515,8540,15975,0
minisweagent,sqlfluff__sqlfluff-1763,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/trace_framework/runs/minisweagent-swebench/dev-20260906T004724Z/tasks/005_sqlfluff__sqlfluff-1763/trace.json,False,Submitted,136,136,1,5168137,69823,28787,16949,11838,0
minisweagent,marshmallow-code__marshmallow-1359,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/trace_framework/runs/minisweagent-swebench/dev-20260906T004724Z/tasks/006_marshmallow-code__marshmallow-1359/trace.json,False,Submitted,54,54,1,1161831,36086,8097,3035,5062,0
minisweagent,marshmallow-code__marshmallow-1343,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/trace_framework/runs/minisweagent-swebench/dev-20260906T004724Z/tasks/007_marshmallow-code__marshmallow-1343/trace.json,False,Submitted,104,104,1,3091547,51224,12482,3264,9218,0
minisweagent,pvlib__pvlib-python-1707,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/trace_framework/runs/minisweagent-swebench/dev-20260906T004724Z/tasks/008_pvlib__pvlib-python-1707/trace.json,True,Submitted,42,42,1,754321,29635,11799,3573,8226,0
minisweagent,pvlib__pvlib-python-1072,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/trace_framework/runs/minisweagent-swebench/dev-20260906T004724Z/tasks/009_pvlib__pvlib-python-1072/trace.json,True,Submitted,37,37,1,405237,18306,9296,3213,6083,0
minisweagent,pvlib__pvlib-python-1606,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/trace_framework/runs/minisweagent-swebench/dev-20260906T004724Z/tasks/010_pvlib__pvlib-python-1606/trace.json,False,Submitted,72,72,1,1689543,46054,23943,3509,20434,0
minisweagent,pvlib__pvlib-python-1854,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/trace_framework/runs/minisweagent-swebench/dev-20260906T004724Z/tasks/011_pvlib__pvlib-python-1854/trace.json,False,LimitsExceeded,250,250,1,13678392,101854,40548,5582,34966,0
minisweagent,pvlib__pvlib-python-1154,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/trace_framework/runs/minisweagent-swebench/dev-20260906T004724Z/tasks/012_pvlib__pvlib-python-1154/trace.json,True,Submitted,68,68,1,1131505,29115,12705,4132,8573,0
minisweagent,pylint-dev__astroid-1978,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/trace_framework/runs/minisweagent-swebench/dev-20260906T004724Z/tasks/013_pylint-dev__astroid-1978/trace.json,False,Submitted,82,82,1,1694636,37967,11054,4484,6570,0
minisweagent,pylint-dev__astroid-1333,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/trace_framework/runs/minisweagent-swebench/dev-20260906T004724Z/tasks/014_pylint-dev__astroid-1333/trace.json,False,Submitted,211,211,1,8650337,74475,33914,15878,18036,0
minisweagent,pylint-dev__astroid-1196,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/trace_framework/runs/minisweagent-swebench/dev-20260906T004724Z/tasks/015_pylint-dev__astroid-1196/trace.json,True,Submitted,80,80,1,1349709,31306,15094,3657,11437,0
minisweagent,pylint-dev__astroid-1866,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/trace_framework/runs/minisweagent-swebench/dev-20260906T004724Z/tasks/016_pylint-dev__astroid-1866/trace.json,True,Submitted,34,34,1,301074,18599,5033,1385,3648,0
minisweagent,pylint-dev__astroid-1268,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/trace_framework/runs/minisweagent-swebench/dev-20260906T004724Z/tasks/017_pylint-dev__astroid-1268/trace.json,True,Submitted,61,61,1,686928,19329,6658,2132,4526,0
minisweagent,pyvista__pyvista-4315,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/trace_framework/runs/minisweagent-swebench/dev-20260906T004724Z/tasks/018_pyvista__pyvista-4315/trace.json,False,Submitted,69,69,1,1353010,39241,14114,2951,11163,0
minisweagent,pydicom__pydicom-1694,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/trace_framework/runs/minisweagent-swebench/dev-20260906T004724Z/tasks/019_pydicom__pydicom-1694/trace.json,True,Submitted,50,50,1,548275,19109,7875,1714,6161,0
minisweagent,pydicom__pydicom-1413,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/trace_framework/runs/minisweagent-swebench/dev-20260906T004724Z/tasks/020_pydicom__pydicom-1413/trace.json,False,Submitted,95,95,1,2917244,55204,23009,7709,15300,0
minisweagent,pydicom__pydicom-901,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/trace_framework/runs/minisweagent-swebench/dev-20260906T004724Z/tasks/021_pydicom__pydicom-901/trace.json,False,Submitted,80,80,1,1741972,42458,14518,3023,11495,0
minisweagent,pydicom__pydicom-1139,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/trace_framework/runs/minisweagent-swebench/dev-20260906T004724Z/tasks/022_pydicom__pydicom-1139/trace.json,True,Submitted,34,34,1,277605,13830,4067,1093,2974,0
minisweagent,pydicom__pydicom-1256,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/trace_framework/runs/minisweagent-swebench/dev-20260906T004724Z/tasks/023_pydicom__pydicom-1256/trace.json,True,Submitted,47,47,1,734594,27996,9507,1922,7585,0
