run,replica,output_tokens_s,prefix_reuse
minisweagent-fixed_frontend-n8-7642788.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r05,665.3114814814815,0.9657965385950077
minisweagent-fixed_frontend-n8-7642788.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r06,653.8394444444444,0.9673147188811416
minisweagent-fixed_frontend-n8-7642788.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r07,659.0474074074074,0.9672939662761068
openclaw-fixed_frontend-n2-7637010.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r00,432.90277777777777,0.9398380175243329
openclaw-fixed_frontend-n2-7637010.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r01,436.0675,0.9396583258603124
openclaw-fixed_frontend-n4-7637012.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r00,432.1691666666667,0.9409435484536318
openclaw-fixed_frontend-n4-7637012.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r01,434.255,0.938915715197264
openclaw-fixed_frontend-n4-7637012.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r02,434.2944444444444,0.9386341421342507
openclaw-fixed_frontend-n4-7637012.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r03,446.4947222222222,0.9396270102077788
minisweagent-fixed_frontend-n2-7637011.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r00,721.5096296296297,0.9562923679340964
minisweagent-fixed_frontend-n2-7637011.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r01,703.8422222222222,0.9521647499546837
openclaw-balanced-n1-7608115.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r00,433.58444444444444,0.9394768856664717
openclaw-balanced-n4-7616566.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r00,433.4558333333333,0.9406075852217092
openclaw-balanced-n4-7616566.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r01,435.05944444444447,0.9384924609038512
openclaw-balanced-n4-7616566.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r02,436.9819444444444,0.9395246450476192
openclaw-balanced-n4-7616566.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r03,447.47027777777777,0.9393601057526902
openclaw-balanced-n8-7618907.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r00,435.055,0.9416392709055715
openclaw-balanced-n8-7618907.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r01,436.16805555555555,0.9374114245965072
openclaw-balanced-n8-7618907.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r02,438.22194444444443,0.939649730833479
openclaw-balanced-n8-7618907.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r03,447.7888888888889,0.9397560981220797
openclaw-balanced-n8-7618907.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r04,440.5075,0.9419988086486389
openclaw-balanced-n8-7618907.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r05,437.3811111111111,0.9392602009668044
openclaw-balanced-n8-7618907.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r06,440.49333333333334,0.939797405005361
openclaw-balanced-n8-7618907.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r07,435.0702777777778,0.9397167451770313
openclaw-balanced-n16-7618908.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r00,435.5938888888889,0.9408734063924491
openclaw-balanced-n16-7618908.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r01,436.2536111111111,0.9384858117084555
openclaw-balanced-n16-7618908.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r02,438.7627777777778,0.9397381616098934
openclaw-balanced-n16-7618908.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r03,447.9175,0.93960991834205
openclaw-balanced-n16-7618908.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r04,439.3286111111111,0.9412339887165072
openclaw-balanced-n16-7618908.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r05,437.8011111111111,0.9400813952381186
openclaw-balanced-n16-7618908.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r06,439.8697222222222,0.9392820457090498
openclaw-balanced-n16-7618908.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r07,435.6222222222222,0.9395533099012672
openclaw-balanced-n16-7618908.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r08,442.7988888888889,0.9398986908981494
openclaw-balanced-n16-7618908.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r09,432.0672222222222,0.9384968803640551
openclaw-balanced-n16-7618908.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r10,441.1747222222222,0.9409809746147224
openclaw-balanced-n16-7618908.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r11,443.6252777777778,0.9392307270088587
openclaw-balanced-n16-7618908.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r12,435.0394444444444,0.9391723015321056
openclaw-balanced-n16-7618908.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r13,442.785,0.9397891654514358
openclaw-balanced-n16-7618908.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r14,443.1163888888889,0.9410765760472528
openclaw-balanced-n16-7618908.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r15,436.03555555555556,0.9354550339866913
minisweagent-balanced-n1-7608115.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r00,722.1357407407407,0.9562109744487783
minisweagent-balanced-n2-7619132.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r00,721.8814814814815,0.9565995315952817
minisweagent-balanced-n2-7619132.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r01,699.6968518518519,0.9495159333841849
minisweagent-balanced-n8-7619134.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r00,721.3724074074074,0.9567418414100227
minisweagent-balanced-n8-7619134.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r01,705.447962962963,0.9499840203387405
minisweagent-balanced-n8-7619134.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r02,704.6946296296296,0.9520361148651697
minisweagent-balanced-n8-7619134.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r03,718.5761111111111,0.9568905836966296
minisweagent-balanced-n8-7619134.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r04,714.9166666666666,0.9548247077129776
minisweagent-balanced-n8-7619134.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r05,701.2905555555556,0.9522662445046931
minisweagent-balanced-n8-7619134.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r06,718.5161111111111,0.9568738816177086
minisweagent-balanced-n8-7619134.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r07,714.967037037037,0.9561895600805372
minisweagent-balanced-n16-7619136.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r00,719.6735185185186,0.9570727755614444
minisweagent-balanced-n16-7619136.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r01,700.6631481481481,0.9492803231459597
minisweagent-balanced-n16-7619136.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r02,707.9096296296296,0.9527303073289849
minisweagent-balanced-n16-7619136.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r03,717.5501851851852,0.9576448024495541
minisweagent-balanced-n16-7619136.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r04,713.4840740740741,0.9547857903930367
minisweagent-balanced-n16-7619136.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r05,709.9424074074074,0.9540834424477214
minisweagent-balanced-n16-7619136.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r06,721.1396296296297,0.9571813527747401
minisweagent-balanced-n16-7619136.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r07,713.2690740740741,0.9556416652471625
minisweagent-balanced-n16-7619136.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r08,715.1079629629629,0.9567023857290268
minisweagent-balanced-n16-7619136.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r09,717.072037037037,0.9578602165855721
minisweagent-balanced-n16-7619136.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r10,716.9653703703704,0.9578893336726104
minisweagent-balanced-n16-7619136.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r11,712.6383333333333,0.9555648689981088
minisweagent-balanced-n16-7619136.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r12,718.7522222222223,0.9558256920556841
minisweagent-balanced-n16-7619136.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r13,718.8609259259259,0.957036191662201
minisweagent-balanced-n16-7619136.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r14,721.7203703703703,0.9563299036051194
minisweagent-balanced-n16-7619136.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r15,722.1003703703703,0.9578850444821463
